Название фильма;Оценка;Жанр
Чаплин (1992);6.328947368421052;Биографии
Операция «Ы» и другие приключения Шурика (1965);6.82051282051282;Комедии
Самый лучший фильм 3-ДЭ (2011);2.7815126050420167;Комедии
Сансет бульвар (1950);5.541666666666667;Ужасы
Крупная рыба (2003);5.648372093023256;Исторические
Мертвые дочери (2007);2.685185185185185;Ужасы
Весна, лето, осень, зима... и снова весна (2003);5.191176470588236;Детские
Индиана Джонс и последний крестовый поход (1989);6.346153846153846;Приключения
Знакомство со спартанцами (2008);2.514705882352941;Короткометражки
Аладдин (1992);5.329545454545454;Анимация
Рапунцель Запутанная история (2010);6.379765395894428;Мультфильмы
Безумно влюбленный (1981);5.727272727272728;Приключения
ЛОпуХИ Эпизод первый (2009);2.4759036144578315;Комедии
Секреты Лос-Анджелеса (1997);6.551020408163265;Криминал
Властелин колец Две крепости (2002);7.340909090909091;Военные
Назад в будущее 2 (1989);5.935897435897436;Фантастика
Пираты Карибского моря Сундук мертвеца (2006);5.178378378378379;Фантастика
Пианист (2002);5.6888297872340425;Ужасы
Война динозавров (2007);3.4054054054054053;Игры
На несколько долларов больше (1965);5.880952380952381;Приключения
Иллюзионист (2006);5.816216216216216;Короткометражки
Кукарача 3D (2011);0.8157894736842105;Мультфильмы
Шрек (2001);7.182692307692308;Анимация
Москва 2017 (2012);2.7142857142857144;Ужасы
Стан Хельсинг (2009);2.2;Комедии
Балто (1995);6.569230769230769;Мультфильмы
В случае убийства набирайте «М» (1954);5.925;Семейные
Ну очень страшное кино (2000);3.625;Ужасы
Человеческая многоножка (2009);2.922727272727273;Ужасы
Знахарь (1981);4.5;Игры
Отступники (2006);5.702054794520548;Фантастика
Наша Russia Яйца судьбы (2010);3.460975609756097;Комедии
Иваново детство (1962);3.789473684210526;Документальные
Артефакт (2009);2.857142857142857;Игры
Заплати другому (2000);5.227272727272728;Фантастика
Легенда о пианисте (1998);6.007936507936508;Исторические
Самый быстрый «Индиан» (2005);5.371794871794871;Комедии
Планета Ка-Пэкс (2001);6.0966386554621845;Игры
Подмена (2008);6.35390625;Драмы
Жизнь Дэвида Гейла (2003);5.98404255319149;Семейные
Стритрейсеры (2008);2.213043478260869;Анимация
Форрест Гамп (1994);9.039946380697051;Спортивные
Могила светлячков (1988);1.8;Мультфильмы
Властелин колец Братство кольца (2001);6.873417721518988;Фантастика
Эта замечательная жизнь (1946);4.711111111111111;Драмы
В джазе только девушки (1959);6.079545454545454;Комедии
Кавказская пленница, или Новые приключения Шурика (1967);5.333333333333333;Комедии
Хороший, плохой, злой (1966);6.173170731707317;Вестерны
Стена (1982);5.166666666666667;Музыкальные
Бойцовский клуб (1999);5.972579150579151;Игры
Терминал (2004);6.101769911504425;Музыкальные
Сука-любовь (2000);2.766666666666667;Семейные
Босиком по мостовой (2005);7.203629032258064;Музыкальные
Изгой (2000);5.881188118811881;Криминал
Затаившиеся 3D (2011);1.8846153846153848;Ужасы
Назад в будущее 3 (1990);6.235294117647059;Вестерны
Красота по-американски (1999);5.605577689243028;Семейные
Однажды в Америке (1983);4.908450704225352;Драмы
Лицо со шрамом (1983);5.505154639175258;Драмы
Пираты Карибского моря Проклятие Черной жемчужины (2003);6.502717391304348;Короткометражки
Аты-баты, шли солдаты (1976);7.4;Музыкальные
Блондинка и блондинка (2008);4.153846153846154;Комедии
Возвращение мушкетеров (2008);2.326219512195122;Фильмы-нуар
Шоу Трумана (1998);6.170588235294118;Драмы
Игра по чужим правилам (2006);7.272727272727272;Спортивные
Обитаемый остров Схватка (2009);3.083333333333333;Фантастика
Кокаин (2001);6.473282442748092;Игры
Самый лучший фильм (2007);1.9037735849056605;Комедии
Обитаемый остров (2008);3.2813364055299536;Фантастика
Бладрейн 2 Освобождение (2007);1.7142857142857142;Игры
Завтра была война (1987);4.230769230769231;Семейные
Столкновение (2004);5.214285714285714;Фантастика
Клуб «Завтрак» (1985);5.525316455696203;Драмы
Ведьма (2006);2.322033915254237;Детские
Славные парни (1990);6.161016949152542;Драмы
Остров сокровищ (1988);3.5625;Музыкальные
Совершенный мир (1993);4.8125;Криминал
Блондинка в шоколаде (2006);1.125;Фильмы-нуар
Пираты Карибского моря На краю Света (2007);5.065454545454545;Мультфильмы
Мантикора (2011);0.7692307693076923;Ужасы
Карнавальная ночь 2 (2007);2.363636363636364;Короткометражки
18-летняя девственница (2009);2.083333333333333;Детские
Нокдаун (2005);6.057142857142857;Семейные
Темный рыцарь (2008);5.980864197530864;Криминал
Сонная Лощина (1999);6.443298969072165;Комедии
Жизнь прекрасна (1997);5.998275862068966;Короткометражки
Большая ржака! (2012);1.0666666666666669;Комедии
Вампирский засос (2010);3.1356020942408374;Исторические
Тупой и еще тупее тупого Когда Гарри встретил Ллойда (2003);3.4285714285714284;Комедии
Рататуй (2007);6.751595744680851;Анимация
Реальная любовь (2003);9.320598006644518;Мелодрамы
12 стульев (1971);5.0;Короткометражки
Самый лучший фильм 2 (2009);3.094472361809045;Ужасы
Психо (1960);6.862637362637362;Реальное ТВ
Жизнь других (2006);6.197802197802198;Короткометражки
Семь (1995);5.754752851711027;Триллеры
Рэй (2004);4.142857142857143;Биографии
Собачье сердце (1988);188687.1037735849;Ужасы
Щелкунчик и Крысиный король (2009);1.654867256637168;Боевики
Другие (2001);6.064035087719298;Триллеры
Запах женщины (1992);5.973509933774834;Фантастика
Игры разума (2001);6.319634703196347;Фантастика
Спасти рядового Райана (1998);5.330434782608696;Ужасы
Дневник памяти (2004);6.544419134396355;Короткометражки
Поющие под дождем (1952);6.173913043478261;Мелодрамы
Сын маски (2005);1.0833333333333333;Комедии
Пираньи 3DD (2012);2.333333333333333;Игры
5 дней в августе (2011);1.65;Боевики
Артист (2011);5.100877192982456;Музыкальные
Один в темноте (2005);1.5714285714285714;Боевики
В диких условиях (2007);6.59469696969697;Короткометражки
Ходячий замок (2004);694.082191780822;Мультфильмы
Зеленая миля (1999);6.140186915887851;Семейные
Зеркальные войны Отражение первое (2005);1.0909090909090908;Боевики
Хористы (2004);5.363636363636363;Детские
Фар Край (2008);2.758928571428572;Игры
Любовь и голуби (1984);6.8478260869565215;Комедии
Назад в будущее (1985);6.615107913669065;Музыкальные
Красавица и чудовище (1991);6.094117647058823;Мультфильмы
Одиннадцать друзей Оушена (2001);6.126865671641791;Криминал
Гран Торино (2008);9.727572016460906;Военные
Гитлер капут! (2008);2.207070808080808;Музыкальные
Сладкая жизнь (1959);4.16;Короткометражки
Шерлок Холмс и доктор Ватсон Собака Баскервилей (1981);4.923076923076923;Криминал
Огни большого города (1931);5.87037037037037;Анимация
Один дома 4 (2002);1.827586206896552;Семейные
Ночи Кабирии (1957);3.206896551724138;Документальные
Секс Гуру (2008);5.166666666666667;Комедии
Блондинка с амбициями (2007);3.272727272727273;Комедии
Взвод (1986);5.249864864864865;Военные
Приключения Шаркбоя и Лавы (2005);4.4;Детские
Афера (1973);4.788461538461538;Комедии
Криминальное чтиво (1994);5.390374331550802;Исторические
Прислуга (2011);5.722222222222222;Семейные
Шерлок Холмс и доктор Ватсон Охота на тигра (1980);3.3;Исторические
Амадей (1984);5.897260273972603;Музыкальные
Запрещенная реальность (2009);1.4541353383458646;Короткометражки
Суперменеджер, или Мотыга судьбы (2010);2.617021276595745;Комедии
Черная кошка, белый кот (1998);4.355555555555555;Комедии
Ганди (1982);6.157894736842105;Фантастика
Военный ныряльщик (2000);6.321428571428571;Приключения
Шерлок Холмс Игра теней (2011);5.934523809523809;Детективы
Умница Уилл Хантинг (1997);5.961666666666667;Семейные
Гаттака (1997);5.668224299065421;Игры
Хатико Самый верный друг (2009);6.487719298245614;Исторические
Цирк (1928);5.607142857142857;Анимация
Воин (2011);6.029411764705882;Спортивные
Звездный десант 3 Мародер (2008);2.8260869565217392;Мультфильмы
Slove. Прямо в сердце (2011);2.838709677419355;Боевики
Белый Бим - Черное ухо (1976);7.516129032258065;Семейные
Брат (1997);6.2578125;Детские
Персона (1966);5.36;Музыкальные
Ты и я (2009);3.58974358974359;Игры
Как приручить дракона (2010);7.107352941176471;Мультфильмы
Начало (2010);6.398988439306359;Короткометражки
Шерлок Холмс и доктор Ватсон Смертельная схватка (1980);3.6;Криминал
Однажды на Диком Западе (1968);3.647058823529412;Вестерны
Джастин Бибер Никогда не говори никогда (2011);3.119047619047619;Музыкальные
Цветок дьявола (2010);1.223529411764706;Игры
Побег из Шоушенка (1994);6.537634408602151;Криминал
Они сражались за Родину (1975);4.166666666666667;Военные
Леди и бродяга (1955);5.625;Мультфильмы
Минотавр (2006);2.1333333333333333;Ужасы
Золотая лихорадка (1925);3.375;Криминал
Человек с бульвара КапуциноК (2009);1.5555555555555556;Мюзиклы
1+1 (2011);5.485294117647059;Драмы
Метрополис (1926);5.25;Фантастика
День Д (2008);2.30188679245283;Военные
Завтрак у Тиффани (1961);5.086399999999999;Музыкальные
Город бога (2002);4.908045977011494;Детские
Мой сосед Тоторо (1988);6.008474576271187;Мультфильмы
Братц (2007);4.596774193548387;Семейные
Лис и пес (1981);4.5360000000000005;Мультфильмы
Матрица (1999);6.373033707865169;Боевики
Проверка на дорогах (1971);3.1666666666666665;Военные
Ураган (1999);6.728571428571429;Криминал
Девочка, покорившая время (2006);6.234375;Анимация
Король Лев (1994);6.178082191780822;Мультфильмы
Игра (1997);5.930967741935484;Игры
Беременный (2011);1.9492753623188408;Комедии
ВАЛЛ·И (2008);6.597014925373134;Мультфильмы
Шерлок Холмс и доктор Ватсон Король шантажа (1980);2.857142857142857;Криминал
Киносвидание (2006);1.2731818181818182;Короткометражки
В бой идут одни «старики» (1973);5.232142857142857;Военные
Код апокалипсиса (2007);3.274725274725274;Боевики
12 разгневанных мужчин (1957);5.807692307692308;Криминал
Отец солдата (1964);4.222222222222222;Семейные
Скалолазка и последний из седьмой колыбели (2007);2.027272727272728;Ужасы
Бриллиантовая рука (1968);5.465116279069767;Комедии
Профессионал (1981);5.1125;Криминал
Белый плен (2006);6.498181818181818;Исторические
Служебный роман (1977);5.94;Семейные
Очень эпическое кино (2007);1.6973684210526316;Короткометражки
Семь жизней (2008);5.630174563591022;Игры
Покровские ворота (1982);6.354166666666667;Военные
Знакомьтесь, Джо Блэк (1998);4.952205882352941;Исторические
Москва слезам не верит (1979);6.12;Исторические
Казино (1995);5.811475409836065;Игры
Наша Маша и Волшебный орех (2009);1.988372093023256;Мультфильмы
Шерлок Холмс и доктор Ватсон Кровавая надпись (1979);4.111111111111111;Детективы
День сурка (1993);5.497872340425532;Комедии
Остров проклятых (2009);6.20436046511628;Криминал
Ледниковый период (2002);6.475;Мультфильмы
Блеф (1976);6.047619047619048;Комедии
Малышка на миллион (2004);5.9375;Спортивные
Крепкий орешек (1988);5.895161290322581;Боевики
Шестое чувство (1999);6.306603773584905;Детские
Тот самый Мюнхгаузен (1979);5.9;Ужасы
Один дома (1990);6.8674358974358976;Семейные
Вам и не снилось (1981);7.612244897959184;Семейные
Антидурь (2007);2.4615384615384617;Короткометражки
Мальчик в полосатой пижаме (2008);6.244117647058824;Игры
Шерлок Холмс и доктор Ватсон Сокровища Агры (1983);5.0;Приключения
Храброе сердце (1995);6.426605504587156;Исторические
Общество мертвых поэтов (1989);5.2091549295774655;Игры
Хулиганы (2004);6.36551724137931;Спортивные
Молчание ягнят (1991);6.4972972972972975;Ужасы
Новые приключения Аленушки и Еремы (2009);0.7;Мультфильмы
Добро пожаловать, или Посторонним вход воспрещен (1964);7.823529411764706;Фантастика
Человек-слон (1980);6.008695652173913;Триллеры
Антибумер (2004);5.0625;Криминал
Красавица и уродина (2008);2.909090909090909;Комедии
Путь Карлито (1993);4.7;Криминал
Приключения Алёнушки и Ерёмы (2008);2.361111111111111;Мультфильмы
Великан (1998);8.433333333333334;Детские
История Хатико (1987);5.4;Исторические
Ночь живых мертвецов 3D (2006);1.4166666666666667;Ужасы
Айсберг (2010);0.7142857142857143;Анимация
Форсаж да Винчи (2007);0.625;Боевики
Эйс Вентура младший (2009);1.7857142857142858;Мультфильмы
Меня зовут Кхан (2010);7.052631578947368;Исторические
Леон (1994);9.710328413284133;Криминал
Список Шиндлера (1993);5.50078125;Музыкальные
Трасса 60 (2002);5.744318181818182;Приключения
Звездный десант 2 Герой федерации (2004);2.555555555555556;Военные
Семь самураев (1954);9.304347826086955;Мультфильмы
Темный мир в 3D (2010);3.457516339869281;Ужасы
Ржевский против Наполеона (2012);2.805084745762712;Комедии
Тот ещё Карлосон! (2012);2.0454545454545454;Детские
Большой куш (2000);7.003571428571428;Криминал
Подозрительные лица (1995);5.280645161290322;Криминал
Принцесса Мононоке (1997);24.76923076923077;Мультфильмы
Догвилль (2003);5.626436781609195;Исторические
Стальной гигант (1999);4.458333333333333;Мультфильмы
Крамер против Крамера (1979);6.307692307692308;Семейные
Дом мертвых (2003);1.9642857142857144;Игры
Гамлет (1964);3.0;Фантастика
А в душе я танцую (2004);5.419148936170213;Игры
Бронкская история (1993);5.0;Исторические
Ромео и Джульетта (1968);7.961538461538462;Семейные
Ночной базар (2005);2.833333333333333;Комедии
Баллада о солдате (1959);7.066666666666666;Исторические
Мосты округа Мэдисон (1995);6.347222222222222;Короткометражки
Яйцеголовые (1993);6.5;Комедии
Титаник (1997);5.583333333333333;Исторические
Никто не знает про секс (2006);1.8;Комедии
Штольня (2006);2.833333333333333;Ужасы
Унесенные ветром (1939);5.257042253521127;Военные
Счастливое число Слевина (2005);6.188311688311688;Боевики
Заложница (2007);6.482758620689655;Криминал
Корпорация монстров (2001);7.212328767123288;Мультфильмы
Нереальный блокбастер (2008);1.509090909090909;Ужасы
Римские каникулы (1953);6.48051948051948;Музыкальные
Шерлок Холмс (2009);6.008032955715757;Криминал
Джентльмены удачи (1971);6.086206896551724;Детские
Золотой теленок (1968);6.818181818181818;Короткометражки
Пробуждение (1990);6.076190476190476;Семейные
Новые времена (1936);5.434782608695652;Комедии
Эффект бабочки (2004);8.256796116504855;Боевики
Бладрейн (2005);1.4493670886075949;Короткометражки
Я всегда буду знать, что вы сделали прошлым летом (2006);1.6111111111111112;Криминал
Книга мастеров (2009);2.8433414043583536;Короткометражки
Путевой обходчик (2007);2.2916666666666665;Боевики
Седьмая печать (1957);4.306451612903226;Игры
Офицеры (1971);6.482758620689655;Ужасы
Звездные войны Эпизод 3 - Месть Ситхов (2005);5.225242718446602;Фантастика
Адвокат дьявола (1997);5.922839506172839;Игры
Бешеные псы (1991);6.935114503816794;Музыкальные
Иван Васильевич меняет профессию (1973);6.141176470588236;Комедии
Невидимая сторона (2009);6.087804878048781;Семейные
Унесённые призраками (2001);6.53169014084507;Мультфильмы
Одержимость (2004);5.929951690821256;Триллеры
Гладиатор (2000);5.932748538011696;Военные
Постал (2007);4.630434782608695;Игры
Человек дождя (1988);6.03921568627451;Драмы
Андрей Рублев (1966);6.416666666666667;Исторические
Крестный отец (1972);5.36697247706422;Семейные
ЖАRА (2006);2.905;Короткометражки
Миллион лет до нашей эры 2 (2007);1.5;Короткометражки
Тренер Картер (2005);7.568181818181818;Спортивные
Война миров Вторжение (2008);1.85;Фантастика
Схватка (1995);6.397849462365591;Детективы
Апокалипсис (2006);4.374193548387097;Приключения
Карты, деньги, два ствола (1998);7.647058823529412;Комедии
Девчата (1961);5.777777777777778;Анимация
Земляничная поляна (1957);4.972222222222222;Семейные
Московская жара (2004);2.090909090909091;Боевики
Танцующий с волками (1990);5.163265306122449;Мультфильмы
Привидение (1990);6.474747474747475;Приключения
Терминаторы (2009);0.4705882352941176;Короткометражки
Убить пересмешника (1962);6.120689655172414;Семейные
Вечное сияние чистого разума (2004);5.554959785522788;Документальные
2012 Судный день (2008);1.0833333333333333;Мелодрамы
Амели (2001);6.386494252873563;Игры
Жизнь в розовом цвете (2007);5.905405405405405;Игры
Волкодав (2006);2.2992424242424243;Фэнтези
Нью-Йоркское такси (2004);1.35;Семейные
Шерлок Холмс и доктор Ватсон Знакомство (1979);5.521739130434782;Музыкальные
Курьер (1986);2.8181818181818183;Анимация
Окно во двор (1954);4.402941176470588;Семейные
Пятый элемент (1997);5.717391304347826;Фантастика
Как украсть миллион (1966);6.333333333333333;Короткометражки
Писатели свободы (2007);6.064516129032258;Короткометражки
Октябрьское небо (1999);7.333333333333333;Детские
Дети шпионов 4D (2011);2.5;Детские
Апокалипсис сегодня (1979);4.511904761904762;Военные
Мотылек (1973);5.653846153846154;Приключения
Престиж (2006);6.509493670886076;Исторические
Крестный отец 2 (1974);5.517241379310345;Криминал
Дорога (1954);5.25;Детские
Жизнь кувырком (2003);0.875;Короткометражки
Пока не сыграл в ящик (2007);5.982608695652174;Короткометражки
Ип Ман (2008);6.557692307692308;Биографии
Трансморферы (2007);1.50125;Короткометражки
Летят журавли (1957);3.976190476190476;Военные
Азирис нуна (2006);2.0416666666666665;Фильмы-нуар
История игрушек Большой побег (2010);5.76824034334764;Мультфильмы
В погоне за счастьем (2006);6.551724137931035;Исторические
Судьба человека (1959);4.423076923076923;Ужасы
Я - Сэм (2001);6.241964285714286;Семейные
Властелин колец Возвращение Короля (2003);5.962328767123288;Военные
Достучаться до небес (1997);5.590611353711791;Короткометражки
Поймай меня, если сможешь (2002);6.836153846153847;Криминал
Мужской сезон Бархатная революция (2005);2.111111111111111;Боевики
Король говорит! (2010);6.103839779005526;Исторические
Медведь (1988);5.8;Семейные
Укрощение строптивого (1980);6.647058823529412;Детские
Малыш (1921);5.354838709677419;Короткометражки
А зори здесь тихие (1972);4.6875;Военные
Великий диктатор (1940);4.947368421052632;Комедии
Никто не знает про секс 2 No sex (2008);1.5;Комедии
